Count;min;max;total;avg;funktion
2;0,000002;0,000037;0,000039;0,000020;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getClientAppTransactionID()
2;0,001521;0,001584;0,003105;0,001553;class vwg.omd.nw2.web.mis.gui.MISBeanData MISBeanData.getMisFavorites()
1;0,038574;0,038574;0,038574;0,038574;class vwg.omd.nw2.persistence.impl.authorization.system.AuthorizationRecordDaoImpl AuthorizationRecordDaoImpl.pruefeExistenzVonBerechtigungsdatensaetzen(..)
14;0,000009;0,000059;0,000189;0,000014;class vwg.omd.nw2.services.logging.impl.LoggingServiceImpl LoggingServiceImpl.setShowSql(..)
2;0,007686;0,018817;0,026503;0,013252;class vwg.omd.nw2.commons.util.XMLUtilsImpl XMLUtilsImpl.getAsXMLString(..)
3;0,010193;0,054112;0,077106;0,025702;class vwg.omd.nw2.persistence.impl.mis.MisDaoImpl MisDaoImpl.getMisStandardCase(..)
2;0,000005;0,003089;0,003094;0,001547;class vwg.omd.nw2.web.jsf.model.layout.ScriptAndStyleResourceUrlDefaultModel ScriptAndStyleResourceUrlDefaultModel.getCssCompilerUrls()
2;0,000002;0,000027;0,000029;0,000015;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getVwcstat()
3;0,000003;0,003900;0,003907;0,001302;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getLanguageOfCurrentUser()
1;0,000032;0,000032;0,000032;0,000032;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getXmlString()
56;0,000019;0,000048;0,001414;0,000025;class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getIntegerProperty(..)
3;0,000004;0,000030;0,000038;0,000013;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setEffectiveTenant(..)
28;0,000639;0,001646;0,025449;0,000909;class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getIntegerPropertyValueForDefaultTenant(..)
