[Profiler] | 0,004639 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.isInitialized() | 19.02.2014 16:53:36.599 | 19.02.2014 16:53:36.603
[Profiler] | 0,000029 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setAuthToken(..) | 19.02.2014 16:53:36.605 | 19.02.2014 16:53:36.605
[Profiler] | 0,000028 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setTraining(..) | 19.02.2014 16:53:36.605 | 19.02.2014 16:53:36.605
[Profiler] | 0,000386 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:36.606 | 19.02.2014 16:53:36.606
[Profiler] | 0,000051 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.insertNullValueIntoCache(..) | 19.02.2014 16:53:36.677 | 19.02.2014 16:53:36.677
[Profiler] | 0,000372 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService RemoteConfigurationService.insertNullValueIntoCache(..) | 19.02.2014 16:53:36.677 | 19.02.2014 16:53:36.677
[Profiler] | 0,000046 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.insertNullValueIntoCache(..) | 19.02.2014 16:53:36.678 | 19.02.2014 16:53:36.678
[Profiler] | 0,000305 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService RemoteConfigurationService.insertNullValueIntoCache(..) | 19.02.2014 16:53:36.678 | 19.02.2014 16:53:36.678
[Profiler] | 0,072889 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStringPropertyValue(..) | 19.02.2014 16:53:36.606 | 19.02.2014 16:53:36.678
[Profiler] | 0,000033 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setClientBrowserVersion(..) | 19.02.2014 16:53:36.979 | 19.02.2014 16:53:36.979
[Profiler] | 0,000027 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setInitialized(..) | 19.02.2014 16:53:36.979 | 19.02.2014 16:53:36.979
[Profiler] | 0,000027 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getAuthToken() | 19.02.2014 16:53:36.980 | 19.02.2014 16:53:36.980
[Profiler] | 0,000008 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setClientBrowserVersion(..) | 19.02.2014 16:53:37.050 | 19.02.2014 16:53:37.050
